fips,PST045212,PST040210,PST120212,POP010210,LND110210,POP060210
13289,8447,9023,-6.4,9023,358.4,25.2
13291,21451,21356,0.4,21356,321.93,66.3
13293,26630,27153,-1.9,27153,323.44,84
13295,68094,68756,-1,68756,446.38,154
13297,84575,83768,1,83768,325.68,257.2
13299,35821,36306,-1.3,36312,892.46,40.7
13301,5578,5834,-4.4,5834,284.3,20.5
13303,20879,21187,-1.5,21187,678.45,31.2
13305,30305,30099,0.7,30099,641.78,46.9
13307,2793,2801,-0.3,2799,209.12,13.4
13309,7888,7421,6.3,7421,295.48,25.1
13311,27556,27144,1.5,27144,240.69,112.8
13313,103359,102599,0.7,102599,290.46,353.2
13315,9068,9255,-2,9255,377.71,24.5
13317,10076,10595,-4.9,10593,469.49,22.6
13319,9577,9563,0.1,9563,447.31,21.4
13321,21741,21679,0.3,21679,570.7,38
15000,1392313,1360301,2.4,1360301,6422.63,211.8
15001,189191,185079,2.2,185079,4028.42,45.9
15003,976372,953207,2.4,953207,600.74,1586.7
15005,90,90,0,90,11.99,7.5
15007,68434,67091,2,67091,619.96,108.2
15009,158226,154834,2.2,154834,1161.52,133.3
16000,1595728,1567652,1.8,1567582,82643.12,19
